,Politician,State,Position,Year,Type of Scandal,What Happened,Comeback?
0,Jim Costa,California,Representative,2026,Sexual harassment,TBD,
1,Chuck Edwards,North Carolina,Representative,2026,Sexual harassment,TBD,
2,Eric Swalwell,California,Representative,2026,Sexual assault (rape),Resigned,
3,Sylvia Luke,Hawaii,Lieutenant Governor,2026,Bribery,Retired,
4,Tony Gonzales,Texas,Representative,2025,Adultery,Resigned,
5,Cory Mills,Florida,Representative,2025,Assault,TBD,
6,Mark Green,Tennessee,Representative,2024,Adultery,"Won reelection, then resigned",
7,Victoria Spartz,Indiana,Representative,2024,Gun at airport,Won reelection,
8,Victoria Spartz,Indiana,Representative,2024,Hostile work environment,Won reelection,
9,Kristi Noem,South Dakota,Governor,2024,Shooting a puppy,Resigned to become DHS secretary,
10,Burt Jones,Georgia,Lieutenant Governor,2024,Election interference,TBD,
11,Troy Nehls,Texas,Representative,2024,Campaign finance,Won reelection,
12,Cori Bush,Missouri,Representative,2024,Misuse of funds,Lost reelection,
13,Nancy Mace,South Carolina,Representative,2023,Sexual harassment,Won reelection,
14,Sean Reyes,Utah,Attorney General,2023,Witness tampering,Retired,
15,Sheila Cherfilus-McCormick,Florida,Representative,2023,"Campaign finance, misuse of official resources","Won reelection, then resigned",
16,Jamaal Bowman,New York,Representative,2023,Pulling fire alarm,Lost reelection,
17,Jeff Duncan,South Carolina,Representative,2023,Adultery,Retired,
18,Bob Menendez,New Jersey,Senator,2023,Bribery,Resigned,
19,Lauren Boebert,Colorado,Representative,2023,Disorderly behavior,Won reelection,
20,George Santos,New York,Representative,2023,"Sexual harassment, theft",Expelled,
21,Beth Wood,North Carolina,Auditor,2023,"Hit and run, misuse of official resources",Resigned,
22,Joe Biden,,President,2023,Mishandling of documents,Retired,
23,Alexandria Ocasio-Cortez,New York,Representative,2022,Improper gifts,Won reelection,
24,Kai Kahele,Hawaii,Representative,2022,"Ethics, misuse of official resources",Lost bid for governor,
25,Kristi Noem,South Dakota,Governor,2022,"Conflict of interest, misuse of funds",Won reelection,
26,Vicente Gonzalez,Texas,Representative,2022,Tax fraud,Won reelection,
27,William Timmons,South Carolina,Representative,2022,"Adultery, abuse of power",Won reelection,
28,Raphael Warnock,Georgia,Senator,2022,Campaign finance,Won reelection,
29,Kathy McGuiness,Delaware,Auditor,2022,Corruption,Lost reelection,
30,Ronny Jackson,Texas,Representative,2022,Misuse of funds,Won reelection,
31,John Rutherford,Florida,Representative,2022,Nondisclosure,Won reelection,
32,Pat Fallon,Texas,Representative,2022,Nondisclosure,Won reelection,
33,Anthony Brown,Maryland,Representative,2022,Campaign finance,Won bid for AG,
34,Madison Cawthorn,North Carolina,Representative,2022,Misuse of funds,Lost reelection,
35,Madison Cawthorn,North Carolina,Representative,2022,"Improper gifts, adultery",Lost reelection,
36,Madison Cawthorn,North Carolina,Representative,2022,Insider trading,Lost reelection,
37,Madison Cawthorn,North Carolina,Representative,2022,Driving with revoked license,Lost reelection,
38,Tom Suozzi,New York,Representative,2022,Nondisclosure,Lost bid for governor,Won 2024 bid for House
39,Brian Benjamin,New York,Lieutenant Governor,2022,Campaign finance,Resigned,
40,Van Taylor,Texas,Representative,2022,Adultery,Retired,
41,Henry Cuellar,Texas,Representative,2022,Corruption,Won reelection,
42,Marie Newman,Illinois,Representative,2021,Bribery,Lost reelection,
43,Jeff Fortenberry,Nebraska,Representative,2021,"Campaign finance, lying to the FBI",Resigned,
44,Fiona Ma,California,Treasurer,2021,Sexual harassment,Won reelection,
45,Mike Hunter,Oklahoma,Attorney General,2021,Adultery,Resigned,
46,Marjorie Taylor Greene,Georgia,Representative,2021,Tax fraud,Won reelection,
47,Doug Lamborn,Colorado,Representative,2021,Misuse of resources,Won reelection,
48,Jeff Landry,Louisiana,Attorney General,2021,Sexual harassment coverup,Won bid for governor,
49,John Merrill,Alabama,Secretary of State,2021,Adultery,Was term-limited out,
50,Matt Gaetz,Florida,Representative,2021,"Sex with underage girl, misuse of funds, drug use, prostitution, corruption, obstruction of justice","Won reelection, then resigned",
51,Madison Cawthorn,North Carolina,Representative,2021,Weapons possession,Lost reelection,
52,Tom Reed,New York,Representative,2021,Sexual harassment,Retired,
53,Tom Malinowski,New Jersey,Representative,2021,Nondisclosure,Lost reelection,Won 2024 bid for Hunterdon County Democratic chairman
54,Ronny Jackson,Texas,Representative,2021,Sexual harassment,Won reelection,
55,Andrew Cuomo,New York,Governor,2021,"Sexual harassment, sexual assault (groping)",Resigned,Running for New York City mayor
56,Andrew Cuomo,New York,Governor,2020,Public-records coverup,Resigned,Running for New York City mayor
57,Jim Hagedorn,Minnesota,Representative,2020,Misuse of funds,Died in office,
58,Jason Ravnsborg,South Dakota,Attorney General,2020,Manslaughter,Removed,
59,Alex Mooney,West Virginia,Representative,2020,Misuse of funds,Won reelection,
60,Mike Kelly,Pennsylvania,Representative,2020,Insider trading,Won reelection,
61,Sanford Bishop,Georgia,Representative,2020,Misuse of funds,Won reelection,
62,Steve Watkins,Kansas,Representative,2020,Election fraud,Lost reelection,
63,Steven Horsford,Nevada,Representative,2020,Adultery,Won reelection,
64,Matt Gaetz,Florida,Representative,2020,Conflict of interest,Won reelection,
65,Donna Shalala,Florida,Representative,2020,Nondisclosure,Lost reelection,
66,Steven Palazzo,Mississippi,Representative,2020,Misuse of funds,"Won reelection, then lost reelection",
67,Kelly Loeffler,Georgia,Senator,2020,Insider trading,Lost bid for full term,
68,Richard Burr,North Carolina,Senator,2020,Insider trading,Announced retirement before scandal,
69,Michelle Lujan Grisham,New Mexico,Governor,2019,Sexual harassment,Won reelection,
70,Bill Huizenga,Michigan,Representative,2019,Misuse of funds,Won reelection,
71,Alcee Hastings,Florida,Representative,2019,Inappropriate relationship with staffer,Won reelection,
72,Eric Holcomb,Indiana,Governor,2019,Abuse of power,Won reelection,
73,Katie Hill,California,Representative,2019,Adultery (with staffer),Resigned,
74,Ilhan Omar,Minnesota,Representative,2019,"Adultery, campaign finance",Won reelection,
75,Jim Beck,Georgia,Insurance Commissioner,2019,Fraud,Removed,
76,Matt Gaetz,Florida,Representative,2019,Witness intimidation,Won reelection,
77,JB Pritzker,Illinois,Governor,2019,Tax fraud,Won reelection,
78,Rashida Tlaib,Michigan,Representative,2019,Campaign finance,Won reelection,
79,Mark Herring,Virginia,Attorney General,2019,Blackface,Lost reelection,
80,Justin Fairfax,Virginia,Lieutenant Governor,2019,Sexual assault (rape),Lost bid for governor,
81,Ralph Northam,Virginia,Governor,2019,Blackface,Was term-limited out,
82,Curtis Hill,Indiana,Attorney General,2018,Sexual assault (groping),Lost reelection,Lost 2020 bid for attorney general and 2024 bid for governor
83,Henry Cuellar,Texas,Representative,2019,Employment discrimination,Won reelection,
84,John Hickenlooper,Colorado,Governor,2018,Illegal gifts,Was term-limited out,Won 2020 bid for Senate
85,Mia Love,Utah,Representative,2018,Campaign finance,Lost reelection,
86,Adam Laxalt,Nevada,Attorney General,2018,Assault (of police officer as a teenager),Lost bid for governor,
87,Rod Blum,Iowa,Representative,2018,Nondisclosure,Lost reelection,
88,Scott Taylor,Virginia,Representative,2018,Election fraud,Lost reelection,Lost 2020 bid for House
89,David Schweikert,Arizona,Representative,2018,"Campaign finance, misuse of funds",Won reelection,
90,Keith Ellison,Minnesota,Representative,2018,Domestic abuse,Won bid for AG,
91,Tom Garrett,Virginia,Representative,2018,Misuse of resources,Retired,
92,Rick Nolan,Minnesota,Representative,2018,Sexual harassment coverup,Lost bid for LG,
93,Bill Schuette,Michigan,Attorney General,2018,Misuse of resources,Lost bid for governor,
94,Jim Jordan,Ohio,Representative,2018,Sexual harassment coverup,Won reelection,
95,Kris Kobach,Kansas,Secretary of State,2018,Contempt of court,Lost bid for governor,"Lost 2020 bid for Senate, won 2022 bid for AG"
96,Eric Schneiderman,New York,Attorney General,2018,Domestic abuse,Resigned,
97,Tony Cárdenas,California,Representative,2018,Sexual assault (of a teenager),Won reelection,
98,Jimmy Duncan Jr.,Tennessee,Representative,2018,Misuse of funds,Retired,
99,Elizabeth Esty,Connecticut,Representative,2018,Sexual harassment coverup,Retired,
100,Tom Schedler,Louisiana,Secretary of State,2018,Sexual harassment,Resigned,
101,Patrick Meehan,Pennsylvania,Representative,2018,Sexual harassment,Resigned,
102,Eric Greitens,Missouri,Governor,2018,"Adultery, sexual assault (rape), campaign finance",Resigned,Lost 2022 bid for Senate
103,Raúl Grijalva,Arizona,Representative,2017,Hostile work environment ,Won reelection,
104,Bobby Scott,Virginia,Representative,2017,Sexual harassment,Won reelection,
105,Ed Murray,Wyoming,Secretary of State,2017,Sexual assault,Resigned,
106,Trent Franks,Arizona,Representative,2017,Sexual harassment,Resigned,Lost 2024 bid for House
107,Rubén Kihuen,Nevada,Representative,2017,Sexual harassment,Retired,
108,Joe Barton,Texas,Representative,2017,"Adultery, sexual harassment",Retired,
109,John Conyers,Michigan,Representative,2017,"Sexual harassment, sexual assault (groping)",Resigned,
110,Al Franken,Minnesota,Senator,2017,Sexual assault (groping),Resigned,
111,Dana Rohrabacher,California,Representative,2017,Election collusion,Lost reelection,
112,Chris Collins,New York,Representative,2017,"Conflict of interest, insider trading","Won reelection, then resigned",
113,Tim Murphy,Pennsylvania,Representative,2017,Adultery,Resigned,
114,Bob Brady,Pennsylvania ,Representative,2017,Corruption,Retired,
115,Mike Stack,Pennsylvania ,Lieutenant Governor,2017,Hostile work environment,Lost reelection,Dropped out of 2019 bid for Philadelphia City Council
116,Duncan D. Hunter,California,Representative,2017,"Misuse of funds, adultery","Won reelection, then resigned",
117,Donald Trump,,President,2017,"Election collusion, adultery, sexual assault, tax fraud, abuse of power",Lost reelection,Won 2024 bid for president
118,Devin Nunes,California,Representative,2017,Divulging classified information,"Won reelection, then resigned unrelatedly",
119,Charles Boustany,Louisiana,Representative,2016,Sex with prostitute,Lost bid for Senate,
120,Ed Whitfield,Kentucky,Representative,2016,Ethics,Resigned,
121,Terry McAuliffe,Virginia,Governor,2016,Campaign finance,Was term-limited out,Lost 2021 bid for governor
122,Robert Pittenger,North Carolina,Representative,2016,Campaign finance,"Won reelection, then lost reelection",
123,Roy Moore,Alabama,Supreme Court Justice,2016,Insubordination,Removed,Lost 2017 bid for Senate
124,Mark Meadows,North Carolina,Representative,2016,Sexual harassment coverup,Won reelection,
125,Sid Miller,Texas,Agriculture Commissioner,2016,Ethics,Won reelection,
126,Alan Grayson,Florida,Representative,2016,"Ethics, abuse",Lost bid for Senate,Lost 2018 bid for Congress
127,Corrine Brown,Florida,Representative,2016,Fraud,Lost reelection,
128,Mike Honda,California,Representative,2015,Campaign finance,Lost reelection,
129,Robert Bentley,Alabama,Governor,2015,Sex,Resigned,
130,Drew Wrigley,North Dakota,Lieutenant Governor,2015,Sex,Retired,
131,Dianna Duran,New Mexico,Secretary of State,2015,Campaign finance,Resigned,
132,Chaka Fattah,Pennsylvania,Representative,2015,Campaign finance,Resigned,
133,Ken Paxton,Texas,Attorney General,2015,Fraud,Won reelection,
134,Paul LePage,Maine,Governor,2015,Abuse of power,Was term-limited out,Lost 2022 bid for governor
135,James Comer,Kentucky,Agriculture Commissioner,2015,Abuse,Lost bid for governor,Won 2016 bid for Congress
136,Frank Guinta,New Hampshire,Representative,2015,Campaign finance,Lost reelection,
137,Bill Sorrell,Vermont,Attorney General,2015,Campaign finance,Retired,
138,Troy Kelley,Washington,Auditor,2015,Fraud,Retired,
139,Bob Menendez,New Jersey,Senator,2015,Corruption,Won reelection,
140,Aaron Schock,Illinois,Representative,2015,Ethics,Resigned,
141,John Kitzhaber,Oregon,Governor,2014,Ethics,Resigned,
142,Rob McCord,Pennsylvania,Treasurer,2015,Campaign finance,Resigned,
143,Kathleen Kane,Pennsylvania,Attorney General,2015,Abuse of power,Resigned,
144,Henry McMaster,South Carolina,Lieutenant Governor,2015,Campaign finance,"Elevated to governor, won full term",
145,Blake Farenthold,Texas,Representative,2014,Sex,"Won reelection twice, then resigned",
146,Lavon Heidemann,Nebraska,Lieutenant Governor,2014,Abuse,Resigned,
147,Chip Flowers,Delaware,Treasurer,2014,Sex & ethics,Retired,
148,Rick Perry,Texas,Governor,2014,Abuse of power,Announced retirement before scandal,"Lost 2016 bid for president, then became secretary of energy"
149,John Walsh,Montana,Senator,2014,Plagiarism,Retired,
150,Scott Walker,Wisconsin,Governor,2014,Campaign finance,Won reelection,
151,Nathan Deal,Georgia,Governor,2014,Ethics,Won reelection,
152,Don Young,Alaska,Representative,2014,Campaign finance,Won reelection,
153,Vance McAllister,Louisiana,Representative,2014,Sex,Lost reelection,
154,Dan Rutherford,Illinois,Treasurer,2014,Sex & ethics,Lost bid for governor,
155,Chris Christie,New Jersey,Governor,2014,Abuse of power,"Lost bid for president, then was term-limited out",Lost 2024 bid for president
156,Mark Darr,Arkansas,Lieutenant Governor,2014,Campaign finance & ethics,Resigned,
157,Cathy McMorris Rodgers,Washington,Representative,2014,Misuse of funds,Won reelection,
158,Trey Radel,Florida,Representative,2013,Drugs,Resigned,
159,Cindy Hill,Wyoming,Superintendent,2013,Abuse,Lost bid for governor,
160,Joan Orie Melvin,Pennsylvania,Supreme Court Justice,2013,Corruption,Resigned,
161,Michele Bachmann,Minnesota,Representative,2013,Ethics,Retired,
162,Martha Shoffner,Arkansas,Treasurer,2013,Corruption,Resigned,
163,Bob McDonnell,Virginia,Governor,2013,Ethics,Was term-limited out,
164,Diane Hathaway,Michigan,Supreme Court Justice,2013,Fraud,Resigned,
165,Jennifer Carroll,Florida,Lieutenant Governor,2013,Ethics,Resigned,
166,John Swallow,Utah,Attorney General,2013,Corruption,Resigned,
167,Rick Sheehy,Nebraska,Lieutenant Governor,2013,Sex,Resigned,
168,Mike Crapo,Idaho,Senator,2012,DUI,Won reelection,
169,Dustin McDaniel,Arkansas,Attorney General,2012,Sex,"Dropped bid for governor, was term-limited out",
170,Michael Grimm,New York,Representative,2012,Campaign finance & fraud,"Won reelection, then resigned",Lost 2018 bid for House
171,Charlie White,Indiana,Secretary of State,2012,Fraud,Removed,
172,Jesse Jackson Jr.,Illinois,Representative,2012,Campaign finance & fraud,Resigned,
173,Ken Ard,South Carolina,Lieutenant Governor,2012,Campaign finance,Resigned,
174,David Rivera,Florida,Representative,2012,Campaign finance,Lost reelection,
175,Laura Richardson,California,Representative,2012,Ethics,Lost reelection,Won 2024 bid for state Senate
176,Scott DesJarlais,Tennessee,Representative,2012,Sex,Won reelection,
177,Tom Horne,Arizona,Attorney General,2012,Sex & campaign finance,Lost reelection,Won 2022 bid for superintendent of public instruction
178,Anthony Weiner,New York,Representative,2011,Sex,Resigned,Lost 2013 bid for New York City mayor and 2025 bid for New York City Council
179,Chris Lee,New York,Representative,2011,Sex,Resigned,
180,David Wu,Oregon,Representative,2011,Sex,Resigned,
181,John Ensign,Nevada,Senator,2011,Sex & ethics,Resigned,
182,Alcee Hastings,Florida,Representative,2011,Sex,Won reelection,
183,John Tierney,Massachusetts,Representative,2010,Ethics,"Won reelection twice, then lost reelection",
184,Eric Massa,New York,Representative,2010,Sex,Resigned,
185,Mark Souder,Indiana,Representative,2010,Sex,Resigned,
186,Maxine Waters,California,Representative,2009,Ethics,Won reelection,
187,Mark Sanford,South Carolina,Governor,2009,Sex,Was term-limited out,Won 2013 bid for House
188,Rod Blagojevich,Illinois,Governor,2009,Corruption,Removed,
189,Sharon Keller,Texas,Criminal Appeals Judge,2009,Ethics & insubordination,Won reelection,
190,Charlie Rangel,New York,Representative,2008,Ethics,Won reelection,
191,Eliot Spitzer,New York,Governor,2008,Sex,Resigned,Lost 2013 bid for New York City comptroller
192,Jeff McMahan,Oklahoma,Auditor,2008,Corruption,Resigned,
193,Vern Buchanan,Florida,Representative,2008,Campaign finance,Won reelection,
194,Jim Gibbons,Nevada,Governor,2008,"Sex, campaign finance, & ethics",Lost reelection,
195,John Doolittle,California,Representative,2008,Corruption,Retired,
196,Marc Dann,Ohio,Attorney General,2008,Sex,Resigned,
197,Rick Renzi,Arizona,Representative,2008,Corruption & fraud,Retired,
198,Sarah Palin,Alaska,Governor,2008,Ethics,Resigned,Lost 2022 bid for House
199,Ted Stevens,Alaska,Senator,2008,Corruption,Lost reelection,
200,Tim Mahoney,Florida,Representative,2008,Sex,Lost reelection,
201,Vito Fossella,New York,Representative,2008,Sex,Retired,
202,David Vitter,Louisiana,Senator,2007,Sex,"Won reelection, then lost bid for governor",
203,Larry Craig,Idaho,Senator,2007,Sex,Retired,
204,Paul Morrison,Kansas,Attorney General,2007,Sex,Resigned,
205,Thomas Ravenel,South Carolina,Treasurer,2007,Drugs,Resigned,Lost 2014 bid for Senate; dropped out of 2026 bid for governor
206,David Scott,Georgia,Representative,2007,Campaign finance,Won reelection,
207,David Petersen,Arizona,Treasurer,2006,Campaign finance & ethics,Resigned,
208,John Conyers,Michigan,Representative,2006,Ethics,Won reelection,
209,Douglas Martin,Arizon,State Mine Inspector,2006,Fraud,Retired,
210,Bill Jefferson,Louisiana,Representative,2006,Corruption,"Won reelection, then lost reelection",
211,Bob Ney,Ohio,Representative,2006,Corruption,Resigned,
212,Mark Foley,Florida,Representative,2006,Sex,Resigned,
213,Mike Easley,North Carolina,Governor,2006,Campaign finance & ethics,Was term-limited out,
214,Bob Taft,Ohio,Governor,2005,Ethics,Was term-limited out,
215,Don Sherwood,Pennsylvania,Representative,2005,Sex,Lost reelection,
216,Duke Cunningham,California,Representative,2005,Corruption & fraud,Resigned,
217,Ernie Fletcher,Kentucky,Governor,2005,Ethics,Lost reelection,
218,Robert Vigil,New Mexico,Treasurer,2005,Corruption,Resigned,
219,Tom DeLay,Texas,Representative,2005,Campaign finance & corruption,Resigned,
220,Ed Schrock,Virginia,Representative,2004,Sex,Retired,
221,Frank Ballance,North Carolina,Representative,2004,Fraud,Resigned,
222,Jim McGreevey,New Jersey,Governor,2004,Sex,Resigned,Running for Jersey City mayor
223,Kathy Augustine,Nevada,Controller,2004,Ethics,"Ran for treasurer, died mid-campaign",
224,Kevin Shelley,California,Secretary of State,2004,Campaign finance,Resigned,
225,Bill Janklow,South Dakota,Representative,2003,Manslaughter,Resigned,
226,Bob Wise,West Virginia,Governor,2003,Sex,Retired,
227,John Rowland,Connecticut,Governor,2003,Corruption,Resigned,
228,Lorelee Byrd,Nebraska,Treasurer,2003,Ethics,Resigned,
229,Meg Scott Phipps,North Carolina,Agriculture Commissioner,2003,Campaign finance & fraud,Resigned,
230,Roy Moore,Alabama,Supreme Court Justice,2003,Insubordination,Removed,Lost 2010 bid for governor; won 2012 bid to return to Supreme Court
231,Steve LaTourette,Ohio,Representative,2003,Sex,Won reelection,
232,George Ryan,Illinois,Governor,2002,Corruption,Retired,
233,Jim Traficant,Ohio,Representative,2002,Corruption,Removed,Lost 2002 & 2010 bids for old seat
234,Paul Patton,Kentucky,Governor,2002,Sex,Retired,
235,Robert Torricelli,New Jersey,Senator,2002,Campaign finance,Retired,
236,Gary Condit,California,Representative,2001,Sex,Lost reelection,
237,Chuck Quackenbush,California,Insurance Commissioner,2000,Corruption,Resigned,
238,Jim Brown,Louisiana,Insurance Commissioner,2000,Ethics & fraud,"Won reelection, then resigned",
239,Bob Barr,Georgia,Representative,1999,Sex,Won reelection,
240,Bob Livingston,Louisiana,Representative,1999,Sex,Resigned,
241,Mary Fallin,Oklahoma,Lieutenant Governor,1998,Sex,Won reelection,
242,Bill Clinton,,President,1998,Sex,Was term-limited out,
243,Dan Burton,Indiana,Representative,1998,Sex,Won reelection,
244,Helen Chenoweth-Hage,Idaho,Representative,1998,Sex,Won reelection,
245,Henry Hyde,Illinois,Representative,1998,Sex,Won reelection,
246,Fife Symington,Arizona,Governor,1997,Fraud,Resigned,Lost 2006 bid for local GOP chairmanship
247,Jay Kim,California,Representative,1997,Campaign finance,Lost reelection,Lost 2000 bid for House
248,Newt Gingrich,Georgia,Representative,1997,Ethics & sex,"Won reelection, then resigned",Lost 2012 bid for president
249,Barbara-Rose Collins,Michigan,Representative,1996,Campaign finance & ethics,Lost reelection,Won 2001 bid for Detroit City Council; reelected in 2005
250,Jim Guy Tucker,Arkansas,Governor,1996,Fraud,Resigned,
251,Wes Cooley,Oregon,Representative,1996,Ethics,Retired,
252,Bob Packwood,Oregon,Senator,1995,Sex,Resigned,
253,Ernie Preate,Pennsylvania,Attorney General,1995,Corruption & fraud,Resigned,
254,Walter Tucker III,California,Representative,1995,Corruption,Resigned,
255,Austin Murphy,Pennsylvania,Representative,1994,Ethics & sex,Retired,
256,Dan Rostenkowski,Illinois,Representative,1994,Ethics & fraud,Lost reelection,
257,Judith Moriarty,Missouri,Secretary of State,1994,Ethics,Removed,Lost 2002 bid for State House
258,Mel Reynolds,Illinois,Representative,1994,Sex,"Won reelection, then resigned",Lost 2004 and 2013 bids for House
259,Ken Calvert,California,Representative,1993,Sex,Won reelection,
260,Carl Perkins,Kentucky,Representative,1992,Campaign finance,Retired,
261,Carroll Hubbard,Kentucky,Representative,1992,Campaign finance,Lost reelection,Lost 2006 and 2008 bids for state Senate and 2020 bid for state House
262,Brock Adams,Washington,Senator,1992,Sex,Retired,
263,H. Guy Hunt,Alabama,Governor,1992,Ethics,Resigned,Lost 2002 bid for state Senate
264,Lawrence Smith,Florida,Representative,1992,Campaign finance,Retired,
265,Mary Rose Oakar,Ohio,Representative,1992,Campaign finance & ethics,Lost reelection,Won 2000 bid for state House; lost 2001 bid for Cleveland mayor; won 2012 bid for state board of education
266,Nicholas Mavroules,Massachusetts,Representative,1992,Corruption,Lost reelection,
267,William Webster,Missouri,Attorney General,1992,Corruption,Lost bid for governor,
268,Chuck Robb,Virginia,Senator,1991,Sex,Won reelection,
269,David Durenberger,Minnesota,Senator,1990,Ethics,Retired,
270,Edward DiPrete,Rhode Island,Governor,1990,Corruption,Lost reelection,
271,Buz Lukens,Ohio,Representative,1989,Sex,"Lost reelection, then resigned",
